# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YDL134C	1635	1245	255	991
YDL133C-A	1171	2890	813	3035
YDL133W	301	215	122	484
YDL132W	901	882	91	472
YDL131W	626	821	299	1096
YDL130W-A	5043	4174	54	146
YDL130W	818	2529	2035	7809
YDL129W	106	139	63	275
YDL128W	636	643	199	704
YDL127W	141	307	17	76
YDL126C	9539	11499	165	677
YDL125C	2924	2103	113	469
YDL124W	9050	7645	141	516
YDL123W	671	300	47	176
YDL122W	470	406	552	1817
YDL121C	232	402	157	456
YDL120W	688	617	50	253
YDL119C	54	128	19	84
YDL117W	159	236	44	243
YDL116W	325	358	160	589
YDL115C	1489	1319	97	302
YDL114W	16	11	1	1
YDL113C	1536	1440	28	153
YDL112W	214	434	195	655
YDL111C	168	245	437	1451
YDL110C	1084	1109	140	476
YDL109C	151	141	46	137
YDL108W	131	177	115	326
YDL107W	74	151	20	88
YDL106C	867	1014	39	163
YDL105W	20	64	7	25
YDL104C	94	250	9	34
YDL103C	251	775	27	114
YDL102W	72	178	27	84
YDL101C	408	601	9	16
YDL100C	1607	2607	117	450
YDL099W	1465	1598	116	416
YDL098C	66	111	23	134
YDL097C	3043	4385	166	790
YDL095W	860	1528	316	1317
YDL093W	110	294	24	92
YDL092W	316	547	150	525
YDL091C	1025	1189	32	124
YDL090C	410	344	12	46
YDL089W	316	232	18	91
YDL088C	706	799	224	788
YDL087C	118	105	42	95
YDL086W	3114	2296	152	582
YDL085C-A	51	76	47	161
YDL085W	2973	1160	28	48
YDL084W	1522	3056	706	2770
YDL083C	895	2563	2241	9556
YDL082W	699	1803	2214	8891
YDL081C	1696	4307	2565	10271
YDL080C	210	203	131	410
YDL079C	590	735	30	91
YDL078C	9980	7110	202	654
YDL077C	214	285	51	212
YDL076C	161	175	127	525
YDL075W	1282	3153	2705	11240
YNCD0002C	10	21	12	25
YDL074C	441	463	447	1464
YDL073W	60	76	158	645
